"AMOXICILINA TRIHIDRATADA;CLAVULANATO DE POTÁSSIO";-;J1C1 - PENICILINAS ORAIS DE AMPLO ESPECTRO
"AMOXICILINA TRIHIDRATADA;ESOMEPRAZOL MAGNÉSICO TRI-HIDRATADO;CLARITROMICINA";-;A2B2 - INIBIDORES DA BOMBA DE PRÓTONS
"AMOXICILINA TRIHIDRATADA;LANSOPRAZOL;CLARITROMICINA";-;A2B2 - INIBIDORES DA BOMBA DE PRÓTONS
"AMOXICILINA TRIHIDRATADA;LANSOPRAZOL;LEVOFLOXACINO HEMI-HIDRATADO";-;A2B2 - INIBIDORES DA BOMBA DE PRÓTONS
"AMOXICILINA TRIHIDRATADA;OMEPRAZOL;CLARITROMICINA";-;A2B2 - INIBIDORES DA BOMBA DE PRÓTONS
"AMOXICILINA TRIHIDRATADA;SULBACTAM PIVOXILA";-;J1C1 - PENICILINAS ORAIS DE AMPLO ESPECTRO
"AMOXICILINA;AMOXICILINA TRI-HIDRATADA";-;J1C1 - PENICILINAS ORAIS DE AMPLO ESPECTRO
AMPICILINA;-;J1C1 - PENICILINAS ORAIS DE AMPLO ESPECTRO
AMPICILINA ANIDRA;-;J1C1 - PENICILINAS ORAIS DE AMPLO ESPECTRO
AMPICILINA SÓDICA;-;J1C2 - PENICILINAS INJETAVEIS DE AMPLO ESPECTRO
ANASTROZOL;-;L2B3 - CITOSTÁTICOS INIBIDORES DA AROMATASE
"ANATOXINA TETÂNICA;ANATOXINA DIFTÉRICA";-;J7B1 - ASSOCIAÇÔES COM VACINA ANTITETÂNICA
"ANATOXINA TETÂNICA;ANATOXINA DIFTÉRICA;ANTÍGENO PERTUSSIS";-;J7B1 - ASSOCIAÇÔES COM VACINA ANTITETÂNICA
ANFOTERICINA B;-;J2A - AGENTES SISTÊMICOS PARA INFECÇÕES FÚNGICAS
ANIDULAFUNGINA;-;J2A - AGENTES SISTÊMICOS PARA INFECÇÕES FÚNGICAS
ANIFROLUMABE;-;L4X - OUTROS IMUNOSSUPRESSORES
ANTIMONIATO DE MEGLUMINA;-;P1G - OUTROS ANTIPARASITÁRIOS
ANTÍGENO DE SUPERFÍCIE DA HEPATITE B;-;J7E4 - VACINA PARA HEPATITE
APALUTAMIDA;-;L2B2 - HORMÔNIOS ANTIANDROGÊNICOS CITOSTÁTICOS
APIXABANA;-;B1F - INIBIDORES DIRETOS DO FATOR XA
"APROTININA;TROMBINA;FIBRINOGÊNIO";-;B2F - PREPARAÇÕES PARA COLAGEM TECIDUAL
ARIPIPRAZOL;-;N5A1 - ANTIPSICÓTICOS ATÍPICOS
ARMODAFINILA;-;N6B - PSICOESTIMULANTES
"ASCORBATO DE SÓDIO;CITRATO DE ZINCO TRI-HIDRATADO;COLECALCIFEROL";-;A11G2 - ASSOCIAÇÕES COM VITAMINA C
ASPARAGINASE;-;L1X9 - TODOS OS OUTROS ANTINEOPLÁSICOS
ASPARTATO DE ARGININA;-;A16A - OUTROS PRODUTOS PARA O APARELHO DIGESTÓRIO E METABOLISMO
"ASPARTATO DE ARGININA;ÁCIDO ASCÓRBICO";-;A13A2 - TODOS OS OUTROS TÔNICOS
ASPARTATO DE L-ARGININA;-;A16A - OUTROS PRODUTOS PARA O APARELHO DIGESTÓRIO E METABOLISMO
"ASPARTATO DE MAGNÉSIO;CLORIDRATO DE TIAMINA;ASPARTATO DE POTÁSSIO;ACETATO DE TOCOFEROL;RIBOFLAVINA;CLORIDRATO DE PIRIDOXINA";-;A11A4 - OUTROS POLIVITAMÍNICOS COM MINERAIS
ASPARTATO DE ORNITINA;-;A5B - HEPATOPROTETORES E LIPOTRÓPICOS
ATALURENO;-;M5X - TODOS OS OUTROS FÁRMACOS COM AÇÃO MÚSCULO-ESQUELÉTICA
ATENOLOL;-;C7A0 - BETABLOQUEADORES PUROS
"ATENOLOL;BESILATO DE ANLODIPINO";-;C8B2 - ANTAGONISTAS DO CÁLCIO ASSOCIADOS A BETABLOQUEADORES
"ATENOLOL;CLORTALIDONA";-;C7B1 - BETABLOQUEADORES ASSOCIADOS COM ANTIHIPERTENSIVOS E/OU DIURÉTICOS
ATEZOLIZUMABE;-;L1G5 - ANTICORPOS MONOCLONAIS ANTINEOPLÁSICOS, PD-1/PD-L1
ATORVASTATINA CÁLCICA;-;C10A1 - ESTATINAS, INIBIDORES DA REDUTASE HMG-CoA
ATROPA BELLADONNA;-;A3A - ANTIESPASMÓDICOS E ANTICOLINÉRGICOS PUROS
AVACOPANA;-;L4X - OUTROS IMUNOSSUPRESSORES
AVELUMABE;-;L1G5 - ANTICORPOS MONOCLONAIS ANTINEOPLÁSICOS, PD-1/PD-L1
AXETIL CEFUROXIMA;-;J1D1 - CEFALOSPORINAS ORAIS
AXETILCEFUROXIMA;-;J1D1 - CEFALOSPORINAS ORAIS
AXICABTAGENO CILOLEUCEL;-;L1X9 - TODOS OS OUTROS ANTINEOPLÁSICOS
AXITINIBE;-;L1H9 - OUTROS ANTINEOPLÁSICOS INIBIDORES DA PROTEÍNA KINASE
AZACITIDINA;-;L1B - AGENTES ANTINEOPLÁSICOS ANTIMETABÓLITOS
AZATIOPRINA;-;L4X - OUTROS IMUNOSSUPRESSORES
AZITROMICINA;-;J1F - MACROLIDEOS E SIMILARES
AZITROMICINA DI-HIDRATADA;-;J1F - MACROLIDEOS E SIMILARES
AZTREONAM;-;J1P1 - MONOBACTÂMICOS
BACILLUS CEREUS;-;A7F - ANTIDIARREICOS MICRO-ORGANISMOS
"BACITRACINA;SULFATO DE NEOMICINA";-;D6A - ANTIBIÓTICOS TÓPICOS
BACLOFENO;-;M3B - RELAXANTE MUSCULAR DE AÇÃO CENTRAL
BACOPA MONNIERI (L.) WETTST.;-;N6D - NOOTRÓPICOS
BALOXAVIR MARBOXILA;-;J5B4 - ANTIVIRAIS PARA INFLUENZA
BARICITINIBE;-;L4D - INIBIDORES DE JAK
BASILIXIMAB;-;L4C - INIBIDORES DA INTERLEUCINA
BELANTAMABE MAFODOTINA;-;L1G9 - ANTICORPOS MONOCLONAIS ANTINEOPLÁSICOS, OUTROS
BELIMUMABE;-;L4X - OUTROS IMUNOSSUPRESSORES
BELINOSTATE;-;L1X3 - ANTINEOPLÁSICOS INBIDORES DE HISTONA DEACETILASE (HDAC)
BELZUTIFANO;-;L1X9 - TODOS OS OUTROS ANTINEOPLÁSICOS
BENDAMUSTINA;-;L1A - AGENTES ANTINEOPLÁSICOS ALQUILANTES
BENFOTIAMINA;-;A11D3 - VITAMINA B1 PURA
BENRALIZUMABE;-;R3M - ANTIASMÁTICOS INIBIDORES DA INTERLEUCINA
BENZBROMARONA;-;M4A - ANTIGOTOSOS
"BENZENO;MENTOL";-;S2D1 - PRODUTOS PARA REMOÇÃO DA CERA DOS OUVIDOS
BENZILPENICILINA BENZATINA;-;J1H1 - PENICILINAS DE PEQUENO E MÉDIO ESPECTROS PURAS
BENZILPENICILINA POTÁSSICA;-;J1H1 - PENICILINAS DE PEQUENO E MÉDIO ESPECTROS PURAS
"BENZILPENICILINA POTÁSSICA;BENZILPENICILINA PROCAÍNA";-;J1H1 - PENICILINAS DE PEQUENO E MÉDIO ESPECTROS PURAS
BENZNIDAZOL;-;P1G - OUTROS ANTIPARASITÁRIOS
BENZOATO DE ALOGLIPTINA;-;A10N1 - ANTIDIABÉTICOS INIBIDORES DPP-IV  PUROS
"BENZOATO DE ALOGLIPTINA;CLORIDRATO DE METFORMINA";-;A10N3 - ASSOCIAÇÕES DE INIBIDORES DPP-IV COM BIGUANIDAS
"BENZOATO DE ALOGLIPTINA;CLORIDRATO DE PIOGLITAZONA";-;A10N9 - OUTRAS ASSOCIAÇÕES DE ANTIDIABÉTICOS COM INIBIDORES DPP-IV
BENZOATO DE BENZILA;-;P3A - ECTOPARASITICIDAS INCLUINDO ESCABICIDAS
BENZOATO DE RIZATRIPTANA;-;N2C1 - ANTIENXAQUECOSOS TRIPTÂNICOS
BENZOCAÍNA;-;N1B3 - ANESTÉSICOS LOCAIS TÓPICOS
BENZOILMETRONIDAZOL;-;P1A - AMEBICIDAS
BERACTANTO;-;R7C - SURFACTANTES PULMONARES
BESILATO DE ANLODIPINO;-;C8A - ANTAGONISTAS DO CÁLCIO PUROS
"BESILATO DE ANLODIPINO;HEMIFUMARATO DE BISOPROLOL";-;C8B2 - ANTAGONISTAS DO CÁLCIO ASSOCIADOS A BETABLOQUEADORES
"BESILATO DE ANLODIPINO;OLMESARTANA MEDOXOMILA";-;C9D3 - ANTAGONISTAS DA ANGIOTENSINA II ASSOCIADOS A ANTAGONISTAS DO CÁLCIO
